Gene dn_silentCFPK dn_damaging dn_lof mut_silentCFPK mut_damaging mut_lof caseData1 caseData2 caseData3 controlData1 controlData2 controlData3 BF_dn_silentCFPK BF_dn_MiD BF_dn_lof BF_cc_MiD_lof_pop1 BF_cc_MiD_lof_pop2 BF_cc_MiD_lof_pop3 BF qvalue
SMARCC2 0 0 1 1.42877e-06 9.1494e-06 3.69121002205583e-06 3 0 1 2 0 0 0.999333231668307 0.991339688892907 11.1063771591429 1.39377147895099 0.98660872036582 1.03076711477341 15.5956082814048 0.330005889232341
DUOXA2 0 0 1 6.5825e-06 2.61449e-06 6.1053398323712e-07 2 0 0 0 1 4 0.996935569627976 0.997510557172228 12.0532856120746 2.02750376044662 0.661224843302648 0.96680150783437 15.5359634069485 0.332800641764892
EPHA2 0 0 1 9.00263e-06 1.0567e-05 2.32785814773732e-06 5 0 0 4 0 2 0.995813666169832 0.990010695384262 11.5149380246003 1.40650174964461 0.98660872036582 0.982564003058375 15.4783851580508 0.335461626555062
YTHDC1 0 0 1 1.61123e-07 2.02481e-06 3.46356946751369e-06 1 0 0 0 0 0 0.99992476333347 0.998071000327334 11.1734711130425 1.39641941261819 0.98660872036582 0.999384216387138 15.3535986954821 0.338029790975951
HIVEP3 0 0 1 1.03441e-05 9.09393e-06 4.08415757760704e-06 2 0 2 1 0 4 0.99519289939422 0.991391761288395 10.9916018195739 1.39298827842256 0.98660872036582 1.02522683229725 15.280090880548 0.340490899388938
ZDHHC5 0 0 1 1.11606e-10 4.31976e-06 2.05351792275694e-06 2 0 0 0 1 2 0.999999947881432 0.995893212555705 11.5991332867046 2.02750376044662 0.661224843302648 0.982564003058375 15.2163317735969 0.34284943980757
SYNGAP1 0 0 1 1.27646e-05 1.01017e-05 3.35259088153957e-06 2 0 0 1 0 0 0.994074792111194 0.990446535251264 11.2063421450642 1.39298827842256 0.98660872036582 0.999384216387138 15.1544044579438 0.345112667665303
XPR1 0 0 1 6.23178e-07 8.01092e-06 2.24173002524186e-06 2 0 0 0 1 2 0.999709069285769 0.992409486594848 11.5412981837888 2.02750376044662 0.661224843302648 0.982564003058375 15.0831093968145 0.347291657051974
KL 0 0 0 1.00609e-05 8.59345e-06 1.79449927376227e-06 6 1 0 0 0 1 0.995323885228666 0.991861823355787 0.957542339275259 10.8782773617861 1.40206218835785 0.990839023890334 14.2857845023032 0.34969055985046
AUTS2 0 0 1 5.14064e-06 4.11188e-06 2.93331467978904e-06 1 1 0 0 1 3 0.997605191591028 0.99609010588081 11.3314924089913 1.39641941261819 0.890332819226562 0.974553359057078 13.643265225957 0.352246545238906
CSMD2 0 0 0 1.18068e-06 3.88457e-05 8.34496040018115e-06 11 3 1 5 1 11 0.99944894416805 0.964199424385567 0.818731962682233 9.57942161060152 1.7970395252884 0.940875689560333 12.7790447589146 0.355062229437961
LAMB2 0 0 0 5.55653e-06 1.71216e-05 5.1310756008439e-06 7 1 1 1 0 7 0.997411952539646 0.983909999755676 0.883821386245351 10.5104985679496 1.40206218835785 0.969903849668086 12.3969179435133 0.357922056335298
NIPAL3 0 0 1 1.11606e-10 3.12714e-06 1.07175594037368e-06 2 0 2 2 0 1 0.999999947881432 0.997023812795223 11.9060322053555 0.992213604214878 0.98660872036582 1.05518623920176 12.2617316529236 0.360715618144234
LRP1 0 0 1 6.01319e-05 4.86983e-05 1.25261659430577e-05 3 2 1 4 0 6 0.972698787093599 0.955511117619387 8.81572453851188 0.740911038731858 2.05544352458945 0.977786499056124 12.2007851836454 0.363414774612148
CHRNG 1 0 1 2.42994e-06 4.29454e-06 1.64442389544679e-06 1 1 1 1 1 6 1.21517070411377 0.995917095688214 11.7259454411401 0.987484009068443 0.890332819226562 0.977786499056124 12.1992979337939 0.365999721198505
OGDHL 0 0 0 2.06605e-06 1.47174e-05 2.11045133851536e-06 7 2 1 2 0 9 0.999036119694245 0.986139299846146 0.950276368390608 6.6351278939491 2.05544352458945 0.954899527202328 12.1921953235383 0.368479992191039
ANK1 0 0 0 7.22417e-06 1.96723e-05 5.05785302917155e-06 8 1 0 2 0 3 0.996637860497229 0.981555441062592 0.885369872464586 10.204502577084 1.40206218835785 0.974553359057078 12.0765169505057 0.370907629500325
ATG12 0 0 1 1.22174e-06 1.00302e-06 6.2646741665222e-07 0 0 1 0 0 0 0.999429791365906 0.999043553106979 12.0481652912663 0.985463527632272 0.98660872036582 1.03076711477341 12.0560124943876 0.373246652736764
TNFRSF13C 0 0 1 5.64213e-06 1.04146e-10 4.01021387624502e-07 0 0 0 0 0 0 0.997372188765103 0.99999990059917 12.1208371395763 0.985463527632272 0.98660872036582 0.999384216387138 11.7464820177095 0.375621406010436
PRDX6 0 0 1 8.45564e-07 1.52294e-06 4.67606112227214e-07 0 0 0 0 0 0 0.999605289714706 0.998548460771715 12.0993236975484 0.985463527632272 0.98660872036582 0.999384216387138 11.734829377434 0.377909593689899
SSBP3 0 0 1 3.23126e-06 1.04146e-10 1.78467686705643e-06 0 0 1 0 0 0 0.998493337871059 0.99999990059917 11.6822983978202 0.985463527632272 0.98660872036582 1.03076711477341 11.6901338358285 0.380129433227552
NR2E3 0 0 1 3.65544e-07 1.04146e-10 7.4320887336228e-07 0 0 0 0 0 0 0.99982932502976 0.99999990059917 12.010722522025 0.985463527632272 0.98660872036582 0.999384216387138 11.6684441695537 0.382275653587709
ESAM 0 0 1 3.40898e-06 1.55982e-06 7.47509923530065e-07 0 0 0 0 0 0 0.998410604136757 0.998513359675573 12.0093454832011 0.985463527632272 0.98660872036582 0.999384216387138 11.6332321572505 0.384357566472079
BTNL2 0 0 1 1.11606e-10 1.00519e-06 8.77590367173445e-07 0 0 0 0 0 0 0.999999947881432 0.999041485757582 11.9677804423164 0.985463527632272 0.98660872036582 0.999384216387138 11.6175648361591 0.386371141531701
CUZD1 0 0 1 1.11606e-10 2.84723e-06 1.23496792938605e-06 0 1 0 1 0 3 0.999999947881432 0.99728952194487 11.8543988820288 0.719168837792261 1.40206218835785 0.974553359057078 11.6172819738063 0.388314171621278
RASSF5 0 0 1 5.87108e-06 1.04146e-10 1.19641310365498e-06 0 0 0 0 0 0 0.997265850358685 0.99999990059917 11.8665737245606 0.985463527632272 0.98660872036582 0.999384216387138 11.4988454712981 0.390234368998692
PSPC1 0 0 1 4.03847e-06 1.27689e-06 1.57960834717547e-06 1 0 0 1 0 0 0.998117669971705 0.998782702828959 11.7461767772848 0.987484009068443 0.98660872036582 0.999384216387138 11.4013636205116 0.392125549687232
ZNF480 0 0 1 1.11606e-10 1.04146e-10 1.68165154798621e-06 0 0 0 0 0 0 0.999999947881432 0.99999990059917 11.7143426463265 0.985463527632272 0.98660872036582 0.999384216387138 11.3824525547607 0.393960607756546
ZNF607 0 0 1 1.11606e-10 1.04146e-10 1.44406746637993e-06 0 0 0 0 0 2 0.999999947881432 0.99999990059917 11.7886083551337 0.985463527632272 0.98660872036582 0.982564003058375 11.2618264022012 0.395779162045697
MGME1 0 0 1 9.49972e-07 1.87001e-06 1.02935106712048e-06 0 0 0 0 0 4 0.999556573746956 0.998218224816044 11.9194877615631 0.985463527632272 0.98660872036582 0.96680150783437 11.1792660225038 0.397568718596075
DLG2 0 0 1 1.11606e-10 1.03556e-05 3.90695836426601e-06 3 1 0 4 0 3 0.999999947881432 0.99020866514779 11.0431972421079 0.740911038731858 1.40206218835785 0.974553359057078 11.0703281404185 0.399340312745932
CLCN1 0 0 1 3.13641e-06 7.16616e-06 2.52518225915297e-06 2 0 1 2 0 4 0.99853749892409 0.99320471384358 11.4547948790643 0.992213604214878 0.98660872036582 0.994340117915832 11.057973803251 0.401060904820126
