"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3","BF.dn","pval.TADA.dn","qvalue.dn"
"FKBP1B",2.191e-06,0,0,0,0,0,0,0,1,0,0,0.975024885880709,0.0440453696290366,0.744112153281937
"POLR2K",2.193e-06,0,0,1,0,0,0,0,0,0,0,0.975002400378173,0.0440987456631972,0.744299522540348
"DEFB131",2.197e-06,0,0,0,0,0,0,0,0,0,0,0.974957431065615,0.0441515879370163,0.744486538672938
"KRTAP19-6",2.201e-06,0,0,1,0,0,0,1,0,0,0,0.97491246400964,0.0442049639711769,0.744673202683748
"GLRX5",2.213e-06,0,0,0,0,0,0,0,0,0,1,0.974777576379979,0.044257806244996,0.744859520390257
"C14orf2",2.227e-06,0,0,0,0,0,0,1,0,2,0,0.974620233141517,0.0443634907926341,0.745045493977323
"HMGA2",2.227e-06,0,0,0,0,0,0,0,0,1,0,0.974620233141517,0.0443634907926341,0.745231116007515
"C1orf122",2.228e-06,0,0,0,1,0,0,0,1,0,0,0.974608995396173,0.0444168668267948,0.745416388077067
"NDUFC1",2.239e-06,0,0,2,0,0,0,0,0,0,0,0.974485389501448,0.0444702428609554,0.745601317173578
"PKIA",2.255e-06,0,0,0,0,0,0,0,0,0,0,0.974305629554911,0.0445236188951161,0.745785907261125
"SPINK2",2.259e-06,0,0,0,0,0,0,0,0,1,0,0.97426069520559,0.0445769949292768,0.745970152115115
"PCP4L1",2.262e-06,0,0,0,0,0,0,0,3,0,0,0.974226995923244,0.0446298372030958,0.746154052111927
"HIGD1C",2.269e-06,0,0,0,0,0,0,0,2,1,1,0.974148369196259,0.0446826794769149,0.7463376106128
"DEFB4A",2.272e-06,0,0,0,0,0,0,0,0,0,0,0.97411467414106,0.0447360555110755,0.746520826192839
"PCP4",2.278e-06,0,0,0,0,0,0,0,1,0,0,0.974047287834725,0.0447894315452362,0.746703701605221
"MT4",2.286e-06,0,0,0,0,0,0,1,7,0,0,0.97395744731555,0.0448428075793968,0.746886238997007
"HILPDA",2.287e-06,0,0,0,0,0,0,0,1,0,0,0.973946217884567,0.0448961836135575,0.747068435153344
"DEFB123",2.298e-06,0,0,0,0,0,0,0,1,1,0,0.97382270344038,0.0449490258873766,0.747250296974588
"C10orf116",2.302e-06,0,1,0,0,0,0,0,2,0,0,0.973777793322462,0.0450018681611956,0.747431821241879
"COX14",2.307e-06,0,1,0,0,0,0,1,2,0,0,0.973721658843846,0.0450547104350147,0.747613009493713
"ZNF559",2.309e-06,0,10,7,1,0,0,2,20,12,6,0.973699206038189,0.0451075527088337,0.747793860892786
"ZNF706",2.317e-06,0,0,0,0,0,0,0,0,0,0,0.973609400448289,0.0451609287429944,0.747974379932388
"TMSB10",2.322e-06,0,0,1,0,0,0,0,0,0,0,0.973553276530874,0.0452143047771551,0.748154565766561
"MRPL52",2.327e-06,0,0,1,1,0,0,0,4,0,0,0.973497156133384,0.0452676808113157,0.748334419325014
"DEFB1",2.336e-06,0,0,0,1,0,0,1,7,2,3,0.973396148287349,0.0453205230851348,0.748513943894547
"SEC61G",2.338e-06,0,0,0,0,0,0,0,2,0,0,0.973373703647863,0.0453738991192954,0.748693136264257
"KRTAP21-3",2.34e-06,0,0,0,0,0,0,0,0,0,0,0.97335125957144,0.0454801174272752,0.748871997358608
"KRTAP23-1",2.34e-06,0,0,0,0,0,0,1,0,0,0,0.97335125957144,0.0454801174272752,0.749050526921737
"MPV17L",2.343e-06,0,0,0,0,0,0,0,1,0,0,0.973317594512523,0.0455334934614358,0.749228727638267
"ST20",2.344e-06,0,0,0,0,0,0,0,0,0,0,0.973306373107732,0.0455868694955965,0.749406599246088
"GNG7",2.349e-06,0,0,1,0,0,0,0,1,0,0,0.973250268195069,0.0456397117694155,0.749584145004808
"SPANXN5",2.352e-06,0,0,0,0,0,0,0,0,0,0,0.973216606936428,0.0456930878035762,0.749761364644498
"ZNF780A",2.353e-06,0,1,3,0,0,0,6,13,4,3,0.973205386798366,0.0457459300773952,0.749938257896343
"FAM150A",2.357e-06,0,0,0,0,0,0,0,0,0,0,0.973160507653458,0.0457993061115559,0.750114827418091
"ANAPC13",2.362e-06,0,0,0,0,0,0,0,0,1,0,0.973104411888746,0.0458526821457166,0.750291074688442
"C12orf75",2.37e-06,0,0,0,0,0,0,0,0,0,0,0.973014665982559,0.0459055244195356,0.750467002348426
"STRA13",2.374e-06,0,0,0,0,0,0,0,0,0,0,0.972969796406451,0.0459589004536963,0.750642608945493
"C6orf48",2.378e-06,0,1,1,0,0,0,1,1,0,0,0.9729249290815,0.046012276487857,0.750817895364009
"COX7B2",2.393e-06,0,0,1,0,0,0,0,2,0,0,0.972756696660249,0.0460656525220176,0.750992868889379
"GNG12",2.404e-06,0,0,0,0,0,0,0,4,0,1,0.972633346332909,0.0461190285561783,0.751167528054308
"IGIP",2.405e-06,0,0,0,0,0,0,0,0,0,0,0.972622133510664,0.0461724045903389,0.751341867911687
