"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3","BF","pval.TADA","qvalue"
"C2orf54",2.595e-05,0,0,5,0,0,0,3,18,4,5,0.204831570062818,0.944393915132106,0.94838463063104
"MRPL24",9.87e-06,0,0,6,0,0,0,1,9,1,3,0.20476437329912,0.944421136909528,0.948386821323984
"SMYD4",3.51e-05,0,2,10,2,1,0,2,8,3,6,0.204629059836941,0.944497998398719,0.948389012245203
"ACOX1",2.587e-05,0,0,4,0,1,0,4,14,4,5,0.204417482087628,0.944619161996264,0.948391203663044
"MATN1",2.627e-05,0,0,5,0,0,0,3,18,3,4,0.204370169387864,0.944654923939151,0.948393394999405
"MPZL3",9.72e-06,0,0,3,0,3,0,3,5,3,5,0.204270153279748,0.944717907659461,0.94839558643975
"SERPINB11",1.407e-05,0,1,7,1,2,0,4,12,5,2,0.204137630673808,0.944812383239925,0.948397778098442
"ITGB7",3.7e-05,0,1,5,0,1,0,4,13,6,3,0.204037468148953,0.944865225513744,0.948399969861596
"SLC13A3",2.623e-05,0,0,4,0,1,0,3,6,3,2,0.203941732445455,0.944919135308247,0.948402161713623
"COL14A1",6.89e-05,0,2,3,0,3,0,13,48,20,12,0.203936038235844,0.944923405390979,0.948404353337735
"GPRC6A",3.023e-05,0,1,5,1,3,0,1,17,11,7,0.203830896635734,0.944969842540699,0.94840654508382
"FAM71B",2.626e-05,0,0,5,0,0,0,2,8,4,3,0.203681968028244,0.945050974112623,0.948408737105896
"NAALAD2",2.454e-05,0,1,9,2,1,0,2,13,8,4,0.203650085994373,0.945066986922872,0.948410928992195
"ACPP",1.43e-05,0,1,7,1,2,0,4,10,4,2,0.203639642989342,0.945076060848679,0.948413120667333
"TMED6",1.006e-05,0,0,5,0,1,0,2,4,2,6,0.203564182759295,0.94512623432079,0.948415312360026
"AFAP1L1",3.74e-05,0,1,5,0,1,0,4,22,4,4,0.203550534594588,0.945141179610355,0.948417503852875
"ZBTB7C",3.06e-05,0,1,1,1,7,0,4,9,2,1,0.203412823572423,0.945237790232186,0.948419695582233
"RMND5B",2.024e-05,0,3,9,1,3,0,1,14,0,0,0.203289176368431,0.945302908993862,0.948421887498608
"NEU4",3.26e-05,0,2,6,0,2,0,4,20,0,10,0.203213651361714,0.945332799572992,0.948424079432745
"DHDH",2.024e-05,0,0,6,1,1,0,0,5,2,2,0.20318443333248,0.945354149986656,0.948426271221811
"UBXN6",2.701e-05,0,0,4,0,1,0,7,19,12,9,0.203121436375151,0.945387776888177,0.948428462984603
"TNFAIP6",1.032e-05,0,0,6,0,0,0,1,2,2,3,0.203013461637274,0.945455564451561,0.948430654879276
"ARMC3",3.114e-05,0,1,7,1,1,0,5,6,6,7,0.202978501835669,0.945471577261809,0.948432846649096
"NUMA1",9.5e-05,0,0,2,0,0,0,16,34,25,20,0.202838830828159,0.945561248999199,0.948435038662224
"BCMO1",2.517e-05,0,2,9,1,1,0,1,10,3,4,0.202672485266375,0.945661595943421,0.948437231012408
"KLHL5",2.684e-05,0,0,5,0,0,0,2,10,3,5,0.202564776881764,0.94571443821724,0.948439423493461
"BCO2",2.044e-05,0,1,6,0,1,0,1,5,4,7,0.202427510296326,0.945789164665065,0.948441616209274
"MED12",8.96e-05,0,0,0,0,0,0,0,0,0,0,0.202291471186113,0.945931144915933,0.948443809155502
"ADAP2",1.497e-05,0,1,6,1,3,0,4,7,0,3,0.2021117609801,0.946041099546304,0.948446002485622
"CTNS",2.066e-05,0,0,6,1,1,0,2,11,4,3,0.201846497683867,0.946210835334935,0.948448196500305
"LTV1",1.56e-05,0,4,13,1,1,0,0,8,2,1,0.201839581128007,0.946217774219375,0.948450390291402
"OR52E8",1.09e-05,0,0,5,0,1,0,1,5,1,1,0.201783176864963,0.946256738724313,0.948452584032882
"LRWD1",3.15e-05,0,2,8,0,0,0,4,20,3,3,0.20175800746498,0.946281291700027,0.948454777614981
"DIXDC1",2.676e-05,0,2,9,1,1,0,5,24,0,5,0.201746382534486,0.946290365625834,0.948456970990127
"ANKMY1",4.9e-05,0,1,6,1,1,0,12,44,14,10,0.201671460207635,0.946323992527355,0.94845916438079
