"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3"
"ACOXL","2.173e-05","0","2","9","0","2","0","4","14","13","7"
"ACP1","6.21e-06","0","2","1","0","0","0","1","3","2","1"
"ACP2","2.343e-05","0","0","0","1","1","1","2","16","1","3"
"ACP5","1.691e-05","0","0","1","0","0","0","0","11","2","0"
"ACP6","1.499e-05","0","0","0","0","0","0","1","5","2","2"
"ACPL2","2.171e-05","0","0","2","0","0","0","1","11","3","2"
"ACPP","1.43e-05","0","1","7","1","2","0","4","10","4","2"
"ACPT","1.89e-05","0","1","6","1","0","0","4","14","3","3"
"ACR","2.104e-05","0","0","0","0","0","0","0","3","0","2"
"ACRBP","2.346e-05","0","0","9","0","2","1","3","12","0","1"
"ACRC","3.56e-05","0","0","0","0","0","0","0","1","0","0"
"ACRV1","9.3e-06","0","2","2","2","0","0","2","2","2","1"
"ACSBG1","3.79e-05","0","0","4","0","0","0","0","8","2","3"
"ACSBG2","2.605e-05","0","3","1","1","0","0","1","12","3","2"
"ACSF2","2.751e-05","0","1","4","0","2","0","1","17","5","3"
"ACSF3","3.26e-05","0","0","1","0","0","0","3","22","9","3"
"ACSL1","3.17e-05","0","0","1","1","1","0","6","6","0","2"
"ACSL3","2.702e-05","0","0","0","0","0","0","2","10","2","1"
"ACSL4","2.365e-05","0","0","0","0","0","0","1","1","0","0"
"ACSL5","2.604e-05","0","1","2","0","1","0","3","6","4","2"
"ACSL6","3.131e-05","0","0","1","1","1","0","5","18","3","2"
"ACSM1","2.361e-05","0","2","7","2","1","0","5","24","4","1"
"ACSM2A","2.263e-05","0","1","5","1","2","0","1","5","1","0"
"ACSM2B","2.238e-05","0","2","2","0","0","0","1","9","1","3"
"ACSM3","2.063e-05","0","2","5","1","1","0","2","8","4","3"
"ACSM4","2.297e-05","0","2","1","3","4","0","5","11","1","4"
"ACSM5","2.578e-05","0","0","3","2","0","0","2","17","5","1"
"ACSS1","3.5e-05","0","0","0","1","1","0","6","15","5","7"
"ACSS2","2.555e-05","0","1","1","0","1","0","4","13","5","5"
"ACSS3","2.854e-05","0","2","5","0","0","0","3","16","2","3"
"ACTA1","2.98e-05","0","0","1","0","0","0","0","1","0","0"
"ACTA2","1.779e-05","0","0","1","0","0","0","0","1","0","0"
"ACTB","2.492e-05","0","0","0","0","0","0","0","0","0","0"
"ACTBL2","1.72e-05","0","2","6","0","0","0","3","15","3","3"
"ACTC1","1.914e-05","0","0","0","0","0","0","0","0","0","2"
"ACTG1","2.56e-05","0","0","0","0","0","0","1","1","0","0"
"ACTG2","1.613e-05","0","0","0","0","1","0","2","3","0","0"
"ACTL10","1.57e-05","0","0","0","0","0","0","0","0","0","0"
"ACTL6A","1.402e-05","0","0","0","0","0","0","1","0","1","1"
"ACTL6B","2.212e-05","0","0","0","0","0","0","3","2","3","0"
"ACTL7A","2.292e-05","0","1","2","0","0","0","5","20","6","5"
"ACTL7B","2.88e-05","0","0","1","2","0","0","0","5","0","4"
"ACTL8","2.139e-05","0","0","0","2","0","0","1","0","1","3"
"ACTL9","2.94e-05","0","0","0","0","0","0","3","10","4","5"
"ACTN1","4.82e-05","0","0","0","0","0","0","4","20","7","3"
"ACTN2","4.71e-05","0","1","2","0","0","0","12","27","4","8"
"ACTN3","4.86e-05","0","1","3","0","0","0","2","20","0","0"
"ACTN4","5.2e-05","0","0","0","0","0","0","5","15","3","0"
"ACTR10","1.627e-05","0","1","1","0","0","0","0","5","0","0"
"ACTR1A","1.857e-05","0","0","0","1","0","0","3","2","1","1"
"ACTR1B","2.222e-05","0","1","1","1","0","0","4","12","2","5"
"ACTR2","1.398e-05","0","0","2","0","0","0","0","1","0","0"
"ACTR3","1.475e-05","0","0","0","0","0","0","0","2","3","0"
"ACTR3B","1.979e-05","0","0","0","0","0","0","0","3","1","0"
"ACTR3C","8.27e-06","0","0","0","0","0","0","0","0","0","0"
"ACTR5","2.284e-05","0","0","1","0","0","0","6","11","3","5"
"ACTR6","1.376e-05","0","0","0","2","3","0","5","4","0","1"
"ACTR8","2.265e-05","0","1","6","0","4","0","2","11","2","7"
"ACTRT1","1.455e-05","0","0","0","0","0","0","0","5","0","0"
"ACTRT2","2.188e-05","0","1","0","0","1","0","1","16","6","3"
"ACTRT3","1.625e-05","0","0","0","0","0","0","2","2","0","0"
"ACVR1","2.128e-05","0","0","1","0","0","0","0","3","1","0"
"ACVR1B","2.364e-05","0","0","0","0","0","0","1","1","0","0"
"ACVR1C","1.943e-05","0","0","5","0","0","0","1","9","1","1"
"ACVR2A","1.773e-05","0","0","2","0","2","0","0","2","0","0"
"ACVR2B","2.673e-05","0","0","0","0","0","0","0","7","0","1"
"ACVRL1","2.759e-05","0","0","1","0","0","0","3","3","1","2"
"ACY1","1.978e-05","0","0","0","1","0","0","0","12","4","4"
"ACY3","1.745e-05","0","0","2","1","2","0","5","11","3","1"
"ACYP1","1.8e-06","0","0","0","0","0","0","0","0","0","0"
"ACYP2","4.12e-06","0","0","1","0","0","0","1","3","0","0"
"ADA","1.645e-05","0","0","4","2","1","0","2","12","2","1"
"ADAD1","1.967e-05","0","0","3","1","2","0","3","7","4","3"
"ADAD2","3.38e-05","0","2","4","2","0","0","2","15","3","6"
"ADAL","7.8e-06","0","0","0","0","1","0","1","2","0","0"
"ADAM10","2.585e-05","0","0","0","0","1","0","0","3","0","1"
"ADAM11","3.99e-05","0","0","2","0","0","0","4","11","4","5"
"ADAM12","3.95e-05","0","1","1","0","0","0","4","23","4","4"
"ADAM15","3.78e-05","0","0","5","0","1","0","13","42","14","6"
"ADAM17","3.35e-05","0","0","2","0","0","0","1","12","0","2"
"ADAM18","2.484e-05","0","2","12","4","2","1","7","17","1","6"
"ADAM19","4.08e-05","0","1","4","1","0","0","3","34","9","5"
